Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Trans_Type,Num_Gears,Make_Enc,Vehicle_Class_Enc,Fuel_E,Fuel_N,Fuel_X,Fuel_Z,Fuel_Efficiency_Score,City_Hwy_Ratio,Displacement_per_Cyl,Fuel_Efficiency_Score,Engine_Load_Index,Green_Score,CO2 Emissions(g/km),High_Emitter
-0.8567209912011173,-0.8834075740178783,-0.759001532648824,-1.0527806894233895,-0.855741845332508,0.7631103241605134,1,-0.8977059997764038,0,0,False,False,False,True,0.7925070858736012,0.755559005100689,-0.5197303711873325,0.7925070858736012,-0.7841348062248177,0.6284713573582905,196,0
-0.5613172013529656,-0.8834075740178783,-0.3875768970143447,-0.6032022124585338,-0.4754230602879403,0.20996628628105488,0,-0.34064702924042006,0,0,False,False,False,True,0.26577727899074716,0.5747242422986588,0.5469689017986833,0.26577727899074716,-0.6799333062911438,0.09852222314248198,221,0
-1.225975728511307,-0.8834075740178783,-1.8732754395522628,-1.4574013186917598,-1.75467715543785,2.8374004662084826,1,0.21641194129556357,0,0,False,False,False,True,2.818265964295601,-2.7184536207179537,-1.853104462419853,2.818265964295601,-0.91438668114191,3.2447796410589014,136,0
0.25104322072945195,0.21057497551210097,0.04098999025620866,0.026207655292263946,0.04319346477283405,-0.34317775159840364,1,-0.34064702924042006,0,11,False,False,False,True,-0.2842477187835042,0.1126425572397792,0.3691862081686304,-0.2842477187835042,0.06250238073628267,-0.374257366233322,255,0
0.25104322072945195,0.21057497551210097,-0.1304367646520126,-0.1536237354936785,-0.12967871024742406,-0.06660573265867437,1,-0.34064702924042006,0,11,False,False,False,True,-0.11820243480482649,0.07501338865156328,0.3691862081686304,-0.11820243480482649,0.06250238073628267,-0.1928438387538988,244,0
0.25104322072945195,0.21057497551210097,-0.18757901628808618,-0.6032022124585338,-0.3371253202717337,0.07168027681119025,1,-0.34064702924042006,0,2,False,False,False,True,0.102969881262975,1.2874268394744839,0.3691862081686304,0.102969881262975,0.06250238073628267,-0.03731964704502837,230,0
0.25104322072945195,0.21057497551210097,-0.21615014210612296,-0.42337082167259177,-0.3025508852676822,0.07168027681119025,1,-0.34064702924042006,0,2,False,False,False,True,0.06428297467271821,0.5923219105363712,0.3691862081686304,0.06428297467271821,0.06250238073628267,-0.05437283832670499,232,0
0.398745115653528,0.21057497551210097,0.06956111607424596,-0.018750192404221464,0.04319346477283405,-0.34317775159840364,1,-0.34064702924042006,0,2,False,False,False,True,-0.2842477187835042,0.32131908357388766,0.7247526621278335,-0.2842477187835042,0.14065350568653828,-0.374257366233322,255,0
0.398745115653528,0.21057497551210097,0.2409878709824672,0.2060390460782064,0.21606563979309215,-0.48146376106826827,0,-0.34064702924042006,0,2,False,False,False,True,-0.4359787553773176,0.22962641472092263,0.7247526621278335,-0.4359787553773176,0.14065350568653828,-0.48700308746610027,267,0
-0.5613172013529656,-0.8834075740178783,-0.559003651922566,-0.693117907851505,-0.6137208003041469,0.4865383052207841,1,-0.8977059997764038,0,0,False,False,False,True,0.4427418401995029,0.25163235987281135,0.5469689017986833,0.4427418401995029,-0.6799333062911438,0.31303871410443285,212,0
-0.5613172013529656,-0.8834075740178783,-0.3875768970143447,-0.42337082167259177,-0.4062741902798367,0.20996628628105488,0,-0.34064702924042006,0,0,False,False,False,True,0.18271228031956682,0.011601272076154485,0.5469689017986833,0.18271228031956682,-0.6799333062911438,0.06059948496788831,225,0
0.25104322072945195,0.21057497551210097,-0.1304367646520126,-0.33345512627962015,-0.19882758025552708,-0.06660573265867437,1,-0.8977059997764038,0,0,False,False,False,True,-0.047313871689934534,0.6004846844341072,0.3691862081686304,-0.047313871689934534,0.06250238073628267,-0.16271214360747763,239,0
-1.0044228861251931,-0.8834075740178783,-0.8161437842848981,-0.9628649940304183,-0.8903162803365595,0.901396333630378,1,-0.34064702924042006,1,13,False,False,False,True,0.8472322598003144,0.19255021989338644,-1.0530800076803406,0.8472322598003144,-0.8362355561916547,0.7301319932424918,193,0
2.0234659598183633,3.4925226241020386,1.555259658612164,1.5997323246692587,1.599043039955157,-1.311179817887456,1,-0.34064702924042006,2,3,False,False,False,True,-1.2996785245875189,0.3710954944567905,-0.6086211031687795,-1.2996785245875189,3.305774066171883,-1.0499232283133693,359,1
2.0234659598183633,3.4925226241020386,1.555259658612164,1.5997323246692587,1.599043039955157,-1.311179817887456,1,-0.34064702924042006,2,10,False,False,False,True,-1.2996785245875189,0.3710954944567905,-0.6086211031687795,-1.2996785245875189,3.305774066171883,-1.0499232283133693,359,1
1.1372545902739075,1.3045575250420802,1.3838329037039425,1.015280304614947,1.2878731249186923,-1.1728938084175913,1,0.21641194129556357,2,13,False,False,False,True,-1.146327746450084,1.2432776205304357,0.41363227603261377,-1.146327746450084,1.1435929425481492,-0.9646222061235687,338,1
1.1372545902739075,1.3045575250420802,1.5838307844302015,1.4199009338833164,1.529894169947054,-1.311179817887456,0,-0.34064702924042006,2,13,False,False,False,True,-1.2671495715486911,0.8025559575745072,0.41363227603261377,-1.2671495715486911,1.1435929425481492,-1.0407054508766937,354,1
1.1372545902739075,1.3045575250420802,1.3838329037039425,1.015280304614947,1.2878731249186923,-1.1728938084175913,1,0.21641194129556357,2,13,False,False,False,True,-1.146327746450084,1.2432776205304357,0.41363227603261377,-1.146327746450084,1.1435929425481492,-0.9646222061235687,338,1
1.1372545902739075,1.3045575250420802,1.5838307844302015,1.4199009338833164,1.529894169947054,-1.311179817887456,0,-0.34064702924042006,2,13,False,False,False,True,-1.2671495715486911,0.8025559575745072,0.41363227603261377,-1.2671495715486911,1.1435929425481492,-1.0407054508766937,354,1
2.0234659598183633,3.4925226241020386,1.555259658612164,1.5997323246692587,1.599043039955157,-1.311179817887456,1,-0.34064702924042006,2,3,False,False,False,True,-1.2996785245875189,0.3710954944567905,-0.6086211031687795,-1.2996785245875189,3.305774066171883,-1.0499232283133693,359,1
-0.8567209912011173,-0.8834075740178783,-0.759001532648824,-0.7380757555479904,-0.7520185403203529,0.6248243146906488,1,0.7734709118315473,3,0,False,False,False,True,0.6357940869627264,-0.3402318498371207,-0.5197303711873325,0.6357940869627264,-0.7841348062248177,0.47715522205730143,202,0
